"","likelihood","bart","expr","rank_size"
"1",0.5,0.744,1.76019275797366,6
"2",0.5,0.853,1.52182039031229,12
"3",0.5,0.792,1.62327740135072,10
"4",0.5,0.832,1.47297921450266,13
"5",0.5,0.797,1.80556061509272,4
"6",0.5,0.146,1.6557438354835,8
"7",0.5,0.569,1.76688225745774,5
"8",0.5,0.656,1.63126153431879,9
"9",0.5,0.872,0.591443420101923,15
"10",0.5,0.841,1.71009861850583,7
"11",0.5,0.535,2.22735600818487,1
"12",0.5,0.848,1.55381529354956,11
"13",0.5,0.642,1.80732282186845,3
"14",0.5,0.71,1.97219539852989,2
"15",0.5,0.617,1.42510745254,14
