"","likelihood","bart","expr","rank_size"
"1",0.5,0.651,1.18391630073892,9
"2",0.5,0.213,1.21996020291656,8
"3",0.5,0.43,1.86304165798732,2
"4",0.5,0.537,1.6759744186052,4
"5",0.5,0.251,1.55535764523026,5
"6",0.5,0.22,0.626903047765422,14
"7",0.5,0.197,1.0843338125081,10
"8",0.5,0.224,0.649625410688419,13
"9",0.5,0.314,0.494537615639991,15
"10",0.5,0.278,1.3132066304672,6
"11",0.5,0.32,1.77043827091521,3
"12",0.5,0.259,0.963614794457746,12
"13",0.5,0.377,1.97404370236716,1
"14",0.5,0.23,1.01974931054314,11
"15",0.5,0.321,1.23276085289403,7
