"","likelihood","bart","expr","rank_size"
"1",0.5,0.806,0.81226945125335,13
"2",0.5,0.178,2.10831406962733,1
"3",0.5,0.689,2.09195016115892,2
"4",0.5,0.345,1.82986466550447,4
"5",0.5,0.239,1.30423602307373,8
"6",0.5,0.841,1.19276939603815,9
"7",0.5,0.078,1.63450632296617,5
"8",0.5,0.288,0.551887305827638,14
"9",0.5,0.183,0.459397949855188,15
"10",0.5,0.097,1.59499762599226,6
"11",0.5,0.377,1.9062972415883,3
"12",0.5,0.091,1.17212782054312,10
"13",0.5,0.261,1.00202118830621,12
"14",0.5,0.086,1.11378643317798,11
"15",0.5,0.653,1.38024988281416,7
