"","likelihood","bart","expr","rank_size"
"1",0.5,0.361,2.02892392757876,6
"2",0.5,0.716,2.09776113949438,3
"3",0.5,0.351,1.90954709564145,11
"4",0.5,0.553,1.92529286926061,10
"5",0.5,0.76,1.76600911676905,14
"6",0.5,0.237,2.75389914847795,2
"7",0.5,0.81,1.8564839678509,13
"8",0.5,0.302,1.99773032447658,8
"9",0.5,0.825,1.47212275146022,15
"10",0.5,0.874,2.08156577352932,4
"11",0.5,0.587,2.05717778882398,5
"12",0.5,0.917,1.90170318054862,12
"13",0.5,0.809,2.02426977450336,7
"14",0.5,0.877,2.75838161020209,1
"15",0.5,0.387,1.93440357919355,9
