"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","OTX2",6.825,4.39e-12,3.133,0.557,0.018,2.77e-05,1,4.55752023093555
"2","SOX2",5.94,1.42e-09,3.03,0.598,0.02,3.87e-05,2,4.41228903498109
"3","GATA4",5.226,8.66e-08,3.174,0.525,0.03,0.000124,3,3.90657831483776
"4","TBX5",3.621,0.000147,3.168,0.536,0.031,0.000128,4,3.89279003035213
"5","PPARG",6.469,4.95e-11,2.619,0.778,0.036,0.000203,5,3.69250396208679
"6","SMAD1",3.273,0.000533,2.979,0.568,0.036,0.000209,6,3.67985371388895
"7","MAML3",3.318,0.000454,3.037,0.537,0.037,0.000228,7,3.64206515299955
"8","TP63",8.813,6.08e-19,2.484,0.6,0.043,0.000361,8,3.44249279809434
"9","NANOG",5.595,1.1e-08,2.614,0.578,0.043,0.00037,9,3.43179827593301
"10","EBF3",2.737,0.0031,3.205,0.518,0.045,0.000399,10,3.39902710431325
"11","POU5F1",6.545,2.98e-11,2.521,0.563,0.047,0.000459,11,3.33818731446274
"12","SIX2",3.766,8.29e-05,3.005,0.513,0.047,0.00047,12,3.32790214206428
"13","REST",6.839,4e-12,2.773,0.515,0.05,0.000549,13,3.26042765554991
"14","CEBPB",10.456,6.89e-26,2.364,0.558,0.052,0.000637,14,3.19586056766465
"15","MYOG",2.288,0.0111,3.061,0.525,0.053,0.000678,15,3.16877030613294
"16","EOMES",3.042,0.00118,2.888,0.524,0.054,0.000692,16,3.15989390554324
"17","GATA6",4.412,5.13e-06,2.835,0.513,0.055,0.000734,17,3.13430394008393
"18","NME2",2.325,0.0101,3.012,0.525,0.055,0.000749,18,3.12551818230053
"19","ZNF274",1.861,0.0314,3.623,0.532,0.056,0.000778,19,3.10902040301031
"20","ATF4",3.133,0.000864,3.098,0.5,0.056,0.000794,20,3.1001794975729
"21","CHAT",2.27,0.0116,3.184,0.512,0.057,0.000825,21,3.08354605145007
"22","DUX4",2.672,0.00377,3.229,0.5,0.058,0.000856,22,3.06752623532285
"23","BRDU",3.357,0.000394,2.937,0.505,0.058,0.000872,23,3.05948351506743
"24","HOTAIR",3.024,0.00125,3.029,0.497,0.062,0.00106,24,2.97469413473523
"25","SMARCA2",2.295,0.0109,2.856,0.53,0.063,0.0011,25,2.95860731484178
"26","SMAD2",3.011,0.0013,2.698,0.518,0.065,0.00126,26,2.89962945488244
"27","PHOX2B",1.664,0.048,3.079,0.539,0.066,0.00128,27,2.89279003035213
"28","EHMT2",2.33,0.00989,2.797,0.521,0.066,0.0013,28,2.88605664769316
"29","TCF4",2.963,0.00153,2.49,0.533,0.068,0.00143,29,2.84466396253494
"30","ZNF75D",2.187,0.0144,3.415,0.491,0.068,0.00143,30,2.84466396253494
"31","BAHD1",2.161,0.0154,3.352,0.489,0.072,0.00165,31,2.78251605578609
"32","SOX11",1.885,0.0297,3.179,0.502,0.072,0.0017,32,2.76955107862173
"33","NR3C1",6.972,1.57e-12,1.991,0.573,0.073,0.00178,33,2.74957999769111
"34","RNF2",3.297,0.000489,2.077,0.6,0.076,0.00199,34,2.70114692359029
"35","PAX3",1.657,0.0488,2.921,0.533,0.076,0.00199,35,2.70114692359029
"36","NR2F2",2.812,0.00247,2.316,0.545,0.077,0.00202,36,2.69464863055338
"37","SOX10",1.675,0.047,2.777,0.552,0.077,0.00208,37,2.68193666503724
"38","PRDM1",2.507,0.00609,2.571,0.516,0.078,0.00217,38,2.66354026615147
"39","RAD21",9.108,4.19e-20,2.087,0.52,0.079,0.00226,39,2.6458915608526
"40","TAL1",4.95,3.71e-07,2.469,0.496,0.081,0.00235,40,2.62893213772826
"41","BMI1",2.722,0.00325,2.175,0.564,0.081,0.00238,41,2.62342304294349
"42","ZNF512",2.234,0.0127,2.638,0.514,0.081,0.00241,42,2.61798295742513
"43","SMC3",6.981,1.47e-12,1.957,0.536,0.083,0.00258,43,2.58838029403677
"44","NEUROG2",4.932,4.07e-07,2.303,0.51,0.083,0.00261,44,2.58335949266172
"45","NR2F1",2.215,0.0134,2.909,0.49,0.083,0.00261,45,2.58335949266172
"46","EWSR1",1.762,0.039,2.712,0.53,0.084,0.00268,46,2.57186520597121
"47","TP73",2.513,0.00598,2.65,0.501,0.084,0.00268,47,2.57186520597121
"48","ZIM3",2.126,0.0168,3.04,0.485,0.084,0.00268,48,2.57186520597121
"49","ZFP57",2.266,0.0117,2.411,0.53,0.084,0.00271,49,2.56703070912559
"50","HOXC9",2.113,0.0173,3.038,0.484,0.086,0.00285,50,2.54515513999149
"51","TCF21",3.182,0.000732,2.054,0.543,0.086,0.00289,51,2.53910215724345
"52","SMAD3",3.304,0.000477,1.922,0.644,0.086,0.00289,52,2.53910215724345
"53","EZH2",9.106,4.26e-20,1.663,0.751,0.087,0.00296,53,2.52870828894106
"54","SIRT1",2.673,0.00376,2.63,0.492,0.088,0.00307,54,2.51286162452281
"55","NEUROD1",2.309,0.0105,2.69,0.492,0.089,0.00319,55,2.49620931694282
"56","CTCF",26.271,2.07e-152,2.017,0.507,0.091,0.00335,56,2.47495519296315
"57","HLF",2.061,0.0196,3.087,0.478,0.092,0.00347,57,2.45967052520913
"58","HAND2",1.605,0.0543,2.894,0.507,0.093,0.00363,58,2.44009337496389
"59","FOXH1",2.081,0.0187,2.779,0.489,0.095,0.00385,59,2.4145392704915
"60","SATB1",1.319,0.0935,3.32,0.503,0.096,0.00398,60,2.40011692792631
"61","EP300",4.803,7.81e-07,1.614,0.668,0.098,0.00421,61,2.37571790416433
"62","MCM2",1.582,0.0568,2.914,0.5,0.098,0.00425,62,2.37161106994969
"63","TRIM28",3.281,0.000518,3.212,0.447,0.098,0.0043,63,2.36653154442041
"64","GATA1",5.018,2.6e-07,2.312,0.484,0.098,0.0043,64,2.36653154442041
"65","CTNNB1",1.656,0.0489,2.485,0.533,0.098,0.0043,65,2.36653154442041
"66","DMC1",1.562,0.0592,2.997,0.494,0.099,0.00435,66,2.36151074304536
"67","ZNF317",2.089,0.0183,3.099,0.469,0.099,0.0044,67,2.35654732351381
"68","LMNA",1.997,0.0229,3.012,0.476,0.1,0.00444,68,2.35261702988538
"69","ZNF680",2.255,0.0121,3.006,0.469,0.101,0.00459,69,2.33818731446274
"70","ZFP28",1.921,0.0274,2.876,0.479,0.102,0.00474,70,2.32422165832591
"71","ZNF169",1.554,0.0601,2.917,0.492,0.104,0.00505,71,2.29670862188134
"72","GATA2",3.451,0.000279,2.236,0.486,0.105,0.00515,72,2.28819277095881
"73","SMC1A",6.205,2.74e-10,1.818,0.51,0.106,0.00537,73,2.27002571430044
"74","RING1",2.147,0.0159,2.7,0.478,0.107,0.00548,74,2.26121944151563
"75","JARID2",5.392,3.49e-08,1.293,0.753,0.109,0.00576,75,2.23957751657679
"76","TERC",2.755,0.00294,2.472,0.476,0.109,0.00576,76,2.23957751657679
"77","PLRG1",1.834,0.0334,3.159,0.463,0.109,0.00576,77,2.23957751657679
"78","CDK2",1.808,0.0353,2.861,0.477,0.109,0.00576,78,2.23957751657679
"79","FLI1",2.583,0.0049,1.756,0.557,0.109,0.00582,79,2.23507701535011
"80","HNF1A",2.198,0.014,2.111,0.511,0.112,0.00629,80,2.20134935455473
"81","ZNF485",1.472,0.0705,3.056,0.478,0.113,0.00641,81,2.19314197048118
"82","PGR",1.619,0.0527,2.38,0.513,0.113,0.00653,82,2.18508681872493
"83","TEAD4",2.272,0.0116,1.778,0.55,0.114,0.0066,83,2.18045606445813
"84","AR",4.755,9.92e-07,1.708,0.513,0.115,0.00679,84,2.1681302257195
"85","TET2",2.357,0.00922,1.712,0.546,0.115,0.00679,85,2.1681302257195
"86","GRIP1",2.239,0.0126,2.122,0.502,0.115,0.00679,86,2.1681302257195
"87","HNF4A",3.707,0.000105,1.997,0.488,0.116,0.00698,87,2.15614457737684
"88","FOXA2",4.105,2.02e-05,2.201,0.474,0.116,0.00704,88,2.15242734085789
"89","MYOD1",2.272,0.0115,2.401,0.477,0.117,0.00718,89,2.1438755557577
"90","PROX1",2.063,0.0196,1.928,0.533,0.117,0.00724,90,2.14026143380285
"91","TP53",3.717,0.000101,1.521,0.533,0.119,0.00751,91,2.12436006299583
"92","ZNF823",1.452,0.0733,3.013,0.477,0.12,0.00772,92,2.11238269966426
"93","NKX2-1",1.875,0.0304,2.272,0.497,0.122,0.00807,93,2.09312646527793
"94","POLR3D",3.435,0.000296,2.338,0.464,0.122,0.00822,94,2.08512818245995
"95","SMN1",1.399,0.0809,3.136,0.472,0.123,0.00836,95,2.07779372256098
"96","NUP98-HOXA9",1.584,0.0566,2.359,0.501,0.125,0.00889,96,2.05109823902979
"97","SUZ12",4.189,1.4e-05,1.089,0.727,0.126,0.00896,97,2.04769199033787
"98","IRF5",1.448,0.0738,2.898,0.476,0.126,0.00904,98,2.04383156952464
"99","CENPT",1.353,0.088,3.211,0.467,0.127,0.0092,99,2.03621217265444
"100","ATF7IP",1.17,0.121,3.616,0.472,0.128,0.00943,100,2.02548830726267
"101","CHD5",1.532,0.0628,2.493,0.488,0.128,0.00951,101,2.02181948306259
"102","PDX1",1.76,0.0392,2.688,0.469,0.129,0.00959,102,2.01818139282934
"103","SMARCC1",2.415,0.00788,1.436,0.54,0.131,0.0101,103,1.99567862621736
"104","ZNF490",1.321,0.0932,3.088,0.464,0.134,0.0108,104,1.96657624451305
"105","EED",1.496,0.0674,1.795,0.598,0.134,0.0109,105,1.96257350205938
"106","LYL1",2.953,0.00157,1.887,0.483,0.134,0.0109,106,1.96257350205938
"107","MITF",2.103,0.0177,2.788,0.45,0.135,0.011,107,1.95860731484178
"108","STAG1",5.319,5.21e-08,1.224,0.514,0.136,0.0112,108,1.95078197732982
