"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","SMAD3",5.157,1.25e-07,2.717,0.728,0.02,3.67e-05,1,4.43533393574791
"2","SIRT1",3.29,0.000501,2.971,0.7,0.023,5.23e-05,2,4.28149831113273
"3","TEAD4",4.091,2.15e-05,2.684,0.704,0.025,6.87e-05,3,4.16304326294045
"4","YAP1",4.35,6.79e-06,2.587,0.706,0.027,8.47e-05,4,4.07211658966929
"5","TP53",6.827,4.34e-12,2.479,0.701,0.029,0.000115,5,3.93930215964639
"6","FOSL1",4.068,2.37e-05,2.536,0.734,0.031,0.000133,6,3.87614835903291
"7","JUN",6.649,1.48e-11,2.414,0.696,0.034,0.000174,7,3.7594507517174
"8","TEAD1",3.754,8.69e-05,2.598,0.668,0.034,0.000179,8,3.74714696902011
"9","SMARCC1",4.313,8.06e-06,2.529,0.668,0.038,0.000242,9,3.61618463401957
"10","RNF2",4.325,7.63e-06,2.789,0.624,0.038,0.000249,10,3.60380065290426
"11","TP63",8.491,1.02e-17,2.418,0.642,0.04,0.000278,11,3.55595520408192
"12","POLR3D",5.626,9.2e-09,3.208,0.598,0.041,0.00031,12,3.50863830616573
"13","BRDU",3.736,9.35e-05,3.107,0.61,0.042,0.000326,13,3.48678239993206
"14","HIRA",3.809,6.97e-05,3.604,0.599,0.043,0.000361,14,3.44249279809434
"15","SMARCA4",3.638,0.000138,2.443,0.668,0.045,0.000399,15,3.39902710431325
"16","ZBTB48",5.096,1.74e-07,2.61,0.614,0.045,0.000418,16,3.37882371822496
"17","FOS",4.606,2.05e-06,2.856,0.596,0.051,0.000611,17,3.21395878975745
"18","PRMT1",2.353,0.0093,2.566,0.657,0.051,0.000611,18,3.21395878975745
"19","EED",2.436,0.00744,2.586,0.628,0.054,0.000706,19,3.1511952989482
"20","JUND",3.445,0.000286,2.316,0.654,0.055,0.000734,20,3.13430394008393
"21","TP73",2.345,0.00951,2.536,0.648,0.055,0.000749,21,3.12551818230053
