"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","HNF4A",6.153,3.8e-10,2.954,0.733,0.008,1.94e-06,1,5.71219827006977
"2","RAD21",11.557,3.39e-31,2.56,0.709,0.015,1.66e-05,2,4.77989191195995
"3","HNF1A",3.333,0.00043,2.879,0.714,0.015,1.66e-05,3,4.77989191195995
"4","NR2F2",3.856,5.76e-05,3.02,0.622,0.02,3.48e-05,4,4.45842075605342
"5","SMAD4",3.117,0.000913,2.97,0.637,0.02,3.87e-05,5,4.41228903498109
"6","CTCF",31.086,1.86e-212,2.343,0.667,0.029,0.000107,6,3.97061622231479
"7","SMC1A",7.89,1.52e-15,2.356,0.669,0.029,0.000115,7,3.93930215964639
"8","SMC3",8.351,3.38e-17,2.325,0.704,0.03,0.000124,8,3.90657831483776
"9","FOXA2",5.488,2.03e-08,2.641,0.6,0.031,0.000128,9,3.89279003035213
"10","TEAD4",4.214,1.25e-05,2.746,0.585,0.033,0.000158,10,3.80134291304558
"11","GATA6",4.463,4.04e-06,2.854,0.575,0.034,0.000174,11,3.7594507517174
"12","TCF4",3.511,0.000223,2.763,0.579,0.037,0.000222,12,3.65364702554936
"13","SUMO1",5.942,1.41e-09,2.362,0.619,0.037,0.000235,13,3.62893213772826
"14","ARID3A",2.247,0.0123,2.568,0.638,0.041,0.00031,14,3.50863830616573
"15","ATF3",2.595,0.00473,2.509,0.614,0.043,0.000352,15,3.45345733652187
"16","NKX2-1",2.542,0.00551,2.78,0.577,0.044,0.00038,16,3.42021640338319
"17","NR3C1",8.635,2.95e-18,2.277,0.606,0.045,0.000408,17,3.38933983691012
"18","NFIA",1.805,0.0356,2.901,0.613,0.048,0.000503,18,3.29843201494407
"19","NR2F6",2.19,0.0143,2.628,0.602,0.049,0.000526,19,3.27901425584626
"20","EP300",6.556,2.76e-11,2,0.736,0.051,0.000599,20,3.22257317761069
"21","PPARG",5.762,4.15e-09,2.357,0.573,0.052,0.000651,21,3.18641901143181
"22","SMARCC1",3.632,0.000141,2.137,0.631,0.056,0.000778,22,3.10902040301031
"23","TOP1",2.675,0.00374,2.351,0.588,0.056,0.000794,23,3.1001794975729
"24","CDX2",2.757,0.00292,2.977,0.547,0.058,0.000872,24,3.05948351506743
"25","PDX1",1.919,0.0275,2.854,0.574,0.06,0.000956,25,3.0195421077239
"26","CEBPB",9.092,4.88e-20,2.119,0.58,0.061,0.00103,26,2.98716277529483
"27","KDM3B",2.252,0.0122,2.26,0.629,0.061,0.00103,27,2.98716277529483
"28","TFAP4",2.032,0.0211,2.707,0.57,0.062,0.00108,28,2.96657624451305
"29","ZNF654",2.358,0.00919,2.187,0.623,0.063,0.00114,29,2.94309514866353
"30","TCF7",1.464,0.0716,2.667,0.617,0.064,0.00118,30,2.92811799269387
"31","CREM",2.049,0.0202,2.387,0.586,0.064,0.0012,31,2.92081875395238
"32","ZBTB2",2.065,0.0195,2.352,0.595,0.064,0.0012,32,2.92081875395238
"33","SIX2",3.071,0.00107,2.64,0.547,0.065,0.00122,33,2.91364016932525
"34","HHEX",2,0.0227,2.745,0.565,0.065,0.00122,34,2.91364016932525
"35","NFIL3",1.645,0.05,2.514,0.61,0.066,0.0013,35,2.88605664769316
"36","GATA4",4.122,1.88e-05,2.756,0.538,0.067,0.00137,36,2.86327943284359
"37","NR2F1",2.031,0.0211,2.715,0.561,0.068,0.00139,37,2.85698519974591
"38","OTX2",5.293,6.02e-08,2.638,0.539,0.068,0.00141,38,2.85078088734462
"39","RING1",1.892,0.0293,2.438,0.58,0.068,0.00141,39,2.85078088734462
"40","HNF1B",1.719,0.0428,2.267,0.714,0.068,0.00143,40,2.84466396253494
"41","STAG1",7.356,9.46e-14,1.773,0.675,0.07,0.00155,41,2.80966830182971
"42","NFIC",1.95,0.0256,2.837,0.554,0.073,0.00172,42,2.76447155309245
"43","EZH2",8.726,1.32e-18,1.591,0.776,0.073,0.00172,43,2.76447155309245
"44","TCF21",2.993,0.00138,1.951,0.62,0.073,0.00175,44,2.75696195131371
"45","POLR3D",2.521,0.00585,1.975,0.634,0.073,0.00178,45,2.74957999769111
"46","MYOG",1.794,0.0364,2.629,0.57,0.073,0.00178,46,2.74957999769111
"47","DLX2",1.58,0.0571,2.365,0.593,0.077,0.00205,47,2.68824613894425
"48","SRF",2.779,0.00272,1.938,0.61,0.078,0.00211,48,2.67571754470231
"49","EPAS1",1.673,0.0471,2.213,0.625,0.079,0.00226,49,2.6458915608526
"50","HNF4G",2.027,0.0213,1.928,0.677,0.082,0.00245,50,2.61083391563547
"51","HES2",7.097,6.36e-13,1.796,0.586,0.083,0.00254,51,2.59516628338006
"52","MBD1",2.429,0.00756,2.151,0.571,0.083,0.00254,52,2.59516628338006
"53","NEUROG2",4.396,5.5e-06,2.117,0.557,0.083,0.00258,53,2.58838029403677
"54","GLIS1",2.32,0.0102,2.473,0.544,0.084,0.00264,54,2.57839607313017
"55","SMARCA2",1.755,0.0396,2.39,0.567,0.085,0.00278,55,2.55595520408192
"56","TERC",2.589,0.00481,2.376,0.543,0.086,0.00285,56,2.54515513999149
"57","MBD4",1.413,0.0788,2.711,0.562,0.086,0.00289,57,2.53910215724345
"58","TEAD1",2.898,0.00188,2.148,0.55,0.091,0.00343,58,2.46470587995723
"59","MYOD1",2.181,0.0146,2.333,0.546,0.092,0.00347,59,2.45967052520913
"60","HAND2",1.398,0.0811,2.658,0.559,0.092,0.00347,60,2.45967052520913
"61","PCGF2",2.097,0.018,2.024,0.577,0.093,0.00359,61,2.44490555142168
"62","ZFAT",1.479,0.0696,2.327,0.572,0.093,0.00359,62,2.44490555142168
"63","MAML3",2.383,0.00859,2.494,0.531,0.094,0.00372,63,2.4294570601181
"64","MYBL2",1.37,0.0854,2.711,0.554,0.095,0.0038,64,2.42021640338319
"65","ASCL1",3.306,0.000474,2.033,0.554,0.095,0.00385,65,2.4145392704915
"66","RXRA",3.008,0.00131,1.865,0.572,0.095,0.00385,66,2.4145392704915
"67","HLF",1.764,0.0389,2.777,0.536,0.095,0.00385,67,2.4145392704915
"68","TBX5",2.487,0.00643,2.523,0.527,0.095,0.00389,68,2.41005039867429
"69","EBF3",1.962,0.0249,2.59,0.535,0.096,0.00402,69,2.39577394691553
"70","SIRT1",1.828,0.0338,2.163,0.569,0.097,0.00407,70,2.39040559077478
"71","JARID2",5.393,3.46e-08,1.293,0.742,0.098,0.0043,71,2.36653154442041
"72","SOX13",1.747,0.0403,2.282,0.56,0.1,0.00444,72,2.35261702988538
"73","ZBTB48",3.389,0.000351,1.835,0.562,0.101,0.00459,73,2.33818731446274
"74","FOXA1",4.121,1.89e-05,1.621,0.575,0.101,0.00469,74,2.32882715728492
"75","MAFK",2.116,0.0172,2.61,0.526,0.101,0.00469,75,2.32882715728492
"76","ZNF512",1.843,0.0327,2.286,0.549,0.102,0.00474,76,2.32422165832591
"77","SOX2",3.037,0.0012,2.015,0.546,0.102,0.00474,77,2.32422165832591
"78","PRDM1",2.35,0.00939,2.426,0.526,0.102,0.00484,78,2.31515463835559
"79","LMNA",1.336,0.0907,2.358,0.564,0.103,0.00489,79,2.31069114087638
"80","ZMYM3",2.699,0.00348,1.77,0.574,0.103,0.00494,80,2.30627305107635
"81","SP140",1.999,0.0228,1.98,0.568,0.105,0.00526,81,2.27901425584626
"82","LHX2",1.499,0.067,2.506,0.54,0.107,0.00559,82,2.25258819211358
"83","DRAP1",1.555,0.06,1.944,0.587,0.108,0.00564,83,2.24872089601666
"84","PGR",1.43,0.0763,2.172,0.565,0.11,0.00605,84,2.21824462534753
"85","CHD5",1.384,0.0831,2.299,0.556,0.111,0.00617,85,2.20971483596676
"86","PAX3",1.312,0.0947,2.524,0.544,0.112,0.00635,86,2.19722627470802
"87","SUZ12",4.127,1.84e-05,1.067,0.761,0.114,0.00666,87,2.1765257708297
"88","SIX1",1.966,0.0247,2.856,0.515,0.114,0.00672,88,2.17263072694617
"89","FOSL2",7.374,8.28e-14,1.532,0.559,0.116,0.00698,89,2.15614457737684
"90","MAFF",1.315,0.0943,2.646,0.533,0.117,0.00724,90,2.14026143380285
"91","TFAP2A",2.413,0.00791,1.866,0.546,0.119,0.00758,91,2.12033079436795
"92","EOMES",2.116,0.0172,2.318,0.522,0.119,0.00765,92,2.11633856484638
"93","YAP1",2.528,0.00573,1.684,0.559,0.12,0.00779,93,2.10846254232744
"94","NR1H3",2.276,0.0114,2.11,0.531,0.12,0.00786,94,2.10457745396059
"95","CTCFL",2.276,0.0114,1.248,0.647,0.123,0.00829,95,2.08144546944973
"96","RNF2",2.178,0.0147,1.302,0.63,0.123,0.00836,96,2.07779372256098
"97","KLF16",1.617,0.0529,2.202,0.538,0.124,0.00866,97,2.06248210798265
"98","GTF2I",3.067,0.00108,1.738,0.54,0.128,0.00935,98,2.02918838912748
"99","ZFP57",1.756,0.0395,2.03,0.544,0.128,0.00935,99,2.02918838912748
"100","PPARGC1A",1.324,0.0927,2.196,0.546,0.128,0.00943,100,2.02548830726267
"101","PROX1",1.933,0.0266,1.817,0.547,0.132,0.0103,101,1.98716277529483
"102","JUN",3.827,6.49e-05,1.498,0.546,0.132,0.0103,102,1.98716277529483
"103","JMJD6",2.722,0.00324,0.929,0.706,0.133,0.0107,103,1.97061622231479
"104","HOTAIR",1.998,0.0228,2.408,0.511,0.134,0.0109,104,1.96257350205938
"105","CBX2",1.476,0.0699,1.718,0.572,0.136,0.0114,105,1.94309514866353
"106","DMC1",1.194,0.116,2.548,0.526,0.137,0.0117,106,1.93181413825384
"107","ZNF436",1.304,0.0961,2.159,0.543,0.138,0.0117,107,1.93181413825384
"108","HOXC9",1.501,0.0667,2.431,0.516,0.139,0.012,108,1.92081875395238
"109","PHOX2B",1.19,0.117,2.528,0.526,0.139,0.0122,109,1.91364016932525
"110","SMAD3",1.99,0.0233,1.358,0.575,0.14,0.0124,110,1.90657831483776
"111","ARID1A",1.174,0.12,1.96,0.57,0.14,0.0124,111,1.90657831483776
"112","TET2",1.791,0.0367,1.368,0.585,0.141,0.0125,112,1.90308998699194
"113","CAMTA2",1.282,0.0999,2.158,0.538,0.143,0.0132,113,1.87942606879415
"114","SMARCA4",2.011,0.0221,0.992,0.638,0.146,0.0139,114,1.85698519974591
"115","ESCO2",1.306,0.0958,1.965,0.543,0.149,0.0148,115,1.82973828460504
"116","HCFC1R1",1.274,0.101,2.099,0.537,0.149,0.0149,116,1.82681373158773
"117","WWTR1",1.798,0.0361,1.665,0.544,0.15,0.0152,117,1.81815641205523
"118","ZNF2",1.645,0.05,1.795,0.54,0.151,0.0155,118,1.80966830182971
"119","MECOM",1.271,0.102,2.078,0.537,0.151,0.0155,119,1.80966830182971
"120","CDCA2",1.223,0.111,2.198,0.53,0.152,0.0157,120,1.80410034759077
"121","ZNF92",1.204,0.114,2.265,0.527,0.152,0.0157,121,1.80410034759077
"122","BMI1",1.364,0.0863,1.328,0.608,0.152,0.0158,122,1.80134291304558
"123","MCM2",1.16,0.123,2.443,0.523,0.152,0.0159,123,1.79860287567955
"124","NR1H2",2.126,0.0168,1.807,0.52,0.154,0.0165,124,1.78251605578609
"125","CDK2",1.366,0.086,2.447,0.509,0.155,0.0167,125,1.77728352885242
"126","NEUROD1",1.303,0.0963,1.888,0.542,0.156,0.0171,126,1.76700388960785
"127","NME2",1.457,0.0725,2.323,0.511,0.157,0.0173,127,1.7619538968712
"128","JUND",2.031,0.0212,1.548,0.531,0.16,0.0186,128,1.73048705578208
"129","CLOCK",0.867,0.193,2.819,0.52,0.162,0.0192,129,1.71669877129645
"130","SMAD2",1.685,0.046,1.877,0.518,0.167,0.0209,130,1.67985371388895
"131","SMAD2-SMAD3",1.874,0.0305,1.774,0.519,0.168,0.0212,131,1.67366413907125
"132","REST",2.811,0.00247,1.899,0.501,0.168,0.0214,132,1.66958622665081
"133","BRD9",1.477,0.0698,1.679,0.527,0.172,0.023,133,1.63827216398241
"134","KDM4A",1.798,0.0361,1.18,0.548,0.174,0.0239,134,1.62160209905186
"135","LMNB1",1.104,0.135,2.294,0.517,0.175,0.024,135,1.61978875828839
"136","MEF2B",1.526,0.0634,1.231,0.557,0.175,0.0241,136,1.61798295742513
"137","SMAD1",1.103,0.135,1.541,0.569,0.176,0.0244,137,1.61261017366127
"138","ELF3",1.566,0.0587,1.808,0.518,0.176,0.0244,138,1.61261017366127
"139","DEK",1.175,0.12,1.563,0.55,0.178,0.0255,139,1.59345981956604
"140","STAT3",1.886,0.0296,0.971,0.554,0.182,0.0272,140,1.5654310959658
"141","ICE2",1.181,0.119,1.895,0.525,0.183,0.0274,141,1.56224943717961
