"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","ERG",4.472,3.87e-06,2.473,0.796,0.011,5.64e-06,1,5.24872089601666
"2","ESR1",13.533,4.97e-42,2.165,0.728,0.018,2.77e-05,2,4.55752023093555
"3","PR",4.093,2.13e-05,2.206,0.71,0.027,9.18e-05,3,4.03715731879876
"4","KDM5B",4.341,7.1e-06,3.32,0.692,0.029,0.000107,4,3.97061622231479
"5","KDM2B",6.066,6.55e-10,1.213,0.821,0.038,0.000242,5,3.61618463401957
"6","H2AZ",8.37,2.87e-17,1.317,0.744,0.039,0.000263,6,3.58004425151024
"7","MAX",5.205,9.72e-08,3.058,0.674,0.04,0.000278,7,3.55595520408192
"8","AR",6.933,2.06e-12,1.903,0.683,0.041,0.000318,8,3.49757288001557
"9","SUZ12",4.572,2.41e-06,1.223,0.752,0.044,0.00038,9,3.42021640338319
"10","JARID2",5.309,5.52e-08,1.269,0.732,0.045,0.000418,10,3.37882371822496
"11","RARG",2.805,0.00251,2.308,0.684,0.046,0.000438,11,3.3585258894959
"12","TFAP2C",3.353,4e-04,2.612,0.673,0.047,0.00047,12,3.32790214206428
"13","EZH2",6.18,3.21e-10,1.112,0.761,0.048,0.000492,13,3.30803489723264
"14","JMJD6",3.429,0.000303,1.484,0.7,0.052,0.000637,14,3.19586056766465
"15","ZMYND8",3.123,0.000896,2.354,0.668,0.054,0.000706,15,3.1511952989482
"16","ASCL1",3.13,0.000873,1.976,0.673,0.056,0.000778,16,3.10902040301031
"17","SOX10",1.691,0.0454,2.795,0.704,0.056,0.000794,17,3.1001794975729
"18","ZFX",3.117,0.000912,1.165,0.727,0.059,0.000922,18,3.03526907894637
"19","HEXIM1",2.526,0.00577,2.105,0.675,0.059,0.000922,19,3.03526907894637
"20","HDAC2",2.605,0.00459,1.286,0.726,0.06,0.000974,20,3.01144104312138
"21","CNOT3",2.277,0.0114,1.726,0.694,0.061,0.00103,21,2.98716277529483
"22","MITF",2.538,0.00557,3.183,0.662,0.062,0.00106,22,2.97469413473523
"23","GRHL2",3.226,0.000627,2.076,0.66,0.063,0.0011,23,2.95860731484178
"24","ZNF263",2.689,0.00359,2.007,0.667,0.063,0.00114,24,2.94309514866353
"25","ARRB1",2.197,0.014,3.445,0.663,0.066,0.0013,25,2.88605664769316
"26","INTS11",3.04,0.00118,1.594,0.674,0.067,0.00132,26,2.87942606879415
"27","SNAI2",3.216,0.000651,1.798,0.66,0.069,0.00146,27,2.83564714421556
"28","MBD2",2.596,0.00472,1.61,0.676,0.069,0.00148,28,2.82973828460504
"29","PHIP",3.844,6.06e-05,0.915,0.71,0.07,0.00157,29,2.80410034759077
"30","ZBTB7A",4.336,7.26e-06,1.079,0.691,0.072,0.00165,30,2.78251605578609
"31","PCGF1",2.405,0.00809,0.996,0.741,0.072,0.00167,31,2.77728352885242
"32","ZNF282",2.385,0.00854,1.206,0.703,0.073,0.00172,32,2.76447155309245
"33","KLF9",3.584,0.000169,1.263,0.674,0.073,0.00175,33,2.75696195131371
"34","RYBP",2.375,0.00878,1.128,0.714,0.073,0.00175,34,2.75696195131371
"35","FOXA1",4.589,2.22e-06,1.672,0.655,0.074,0.0018,35,2.74472749489669
"36","WDR5",2.689,0.00359,0.823,0.738,0.075,0.00191,36,2.71896663275227
"37","TET3",1.745,0.0405,1.135,0.765,0.075,0.00191,37,2.71896663275227
"38","CTCFL",2.91,0.00181,1.795,0.655,0.077,0.00208,38,2.68193666503724
"39","NCAPH2",2.436,0.00743,0.818,0.753,0.077,0.00208,39,2.68193666503724
