"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","GATA2",5.673,7.01e-09,2.924,0.632,0.013,9.75e-06,1,5.01099538430146
"2","TAL1",6.039,7.74e-10,2.804,0.615,0.015,1.55e-05,2,4.80966830182971
"3","LYL1",4.213,1.26e-05,2.438,0.664,0.025,7.17e-05,3,4.1444808443322
"4","REST",6.642,1.55e-11,2.73,0.572,0.026,7.48e-05,4,4.12609840213554
"5","SIRT1",2.933,0.00168,2.773,0.612,0.027,8.82e-05,5,4.05453141486818
"6","RAD21",10.452,7.15e-26,2.347,0.618,0.027,9.18e-05,6,4.03715731879876
"7","SMAD1",2.959,0.00154,2.771,0.606,0.029,0.000107,7,3.97061622231479
"8","GATA4",3.886,5.09e-05,2.667,0.581,0.03,0.000124,8,3.90657831483776
"9","BRDU",3.782,7.77e-05,3.127,0.559,0.033,0.000158,9,3.80134291304558
"10","CTCF",29.977,9.72e-198,2.268,0.608,0.033,0.000168,10,3.77469071827414
"11","PPARG",5.626,9.25e-09,2.307,0.622,0.034,0.000174,11,3.7594507517174
"12","IKZF1",4.83,6.83e-07,2.551,0.57,0.035,0.000197,12,3.70553377383841
"13","TBX5",3.332,0.000432,3.003,0.557,0.037,0.000222,13,3.65364702554936
"14","GATA1",5.654,7.86e-09,2.501,0.565,0.037,0.000228,14,3.64206515299955
"15","LMO2",3.23,0.000619,2.3,0.643,0.038,0.000256,15,3.59176003468815
"16","MEF2B",4.166,1.55e-05,2.373,0.585,0.039,0.000271,16,3.56703070912559
"17","MEIS1",2.823,0.00238,2.63,0.577,0.039,0.000271,17,3.56703070912559
"18","NR2F2",2.883,0.00197,2.365,0.604,0.044,0.000389,18,3.41005039867429
"19","SMC3",7.591,1.59e-14,2.121,0.614,0.045,0.000418,19,3.37882371822496
"20","SPI1",8.32,4.41e-17,2.015,0.731,0.046,0.000449,20,3.34775365899668
"21","STAG1",8.47,1.22e-17,2.073,0.608,0.047,0.000481,21,3.31785492362617
"22","AR",11.441,1.3e-30,2.308,0.55,0.05,0.000549,22,3.26042765554991
"23","GRIP1",2.4,0.0082,2.234,0.646,0.051,0.000586,23,3.23210238398191
"24","TSC22D4",2.496,0.00629,3.179,0.541,0.052,0.000624,24,3.20481541031758
"25","SPIB",2.472,0.00672,2.557,0.557,0.053,0.000664,25,3.17783192063198
"26","YBX1",2.816,0.00243,3.168,0.533,0.056,0.000778,26,3.10902040301031
"27","RXRG",3.52,0.000215,2.109,0.605,0.057,0.000825,27,3.08354605145007
"28","RUNX1T1",3.05,0.00114,2.057,0.622,0.058,0.000872,28,3.05948351506743
"29","GATA6",3.575,0.000175,2.526,0.531,0.061,0.00101,29,2.99567862621736
"30","FOXO1",2.462,0.00691,2.27,0.572,0.061,0.00101,30,2.99567862621736
"31","RUNX1",5.911,1.7e-09,1.936,0.621,0.061,0.00105,31,2.97881070093006
"32","JMJD1C",2.708,0.00339,2.137,0.597,0.062,0.00106,32,2.97469413473523
"33","CEBPB",7.541,2.32e-14,1.84,0.707,0.062,0.00108,33,2.96657624451305
"34","SUMO1",5.182,1.1e-07,2.092,0.561,0.064,0.00116,34,2.93554201077308
"35","SMC1A",6.293,1.56e-10,1.846,0.634,0.067,0.00132,35,2.87942606879415
"36","ZBTB2",2.125,0.0168,2.409,0.551,0.069,0.00146,36,2.83564714421556
"37","NME2",2.001,0.0227,2.755,0.535,0.07,0.00155,37,2.80966830182971
"38","CEBPA",2.838,0.00227,1.909,0.655,0.071,0.00162,38,2.79048498545737
"39","ETV6",2.467,0.00682,2.354,0.54,0.073,0.00172,39,2.76447155309245
"40","TCF4",2.362,0.00909,2.191,0.557,0.074,0.0018,40,2.74472749489669
"41","NR3C1",5.956,1.29e-09,1.816,0.607,0.075,0.00188,41,2.72584215073632
"42","CRY1",1.499,0.0669,3.314,0.545,0.075,0.00191,42,2.71896663275227
"43","FOXA1",8.605,3.82e-18,2.112,0.531,0.076,0.00199,43,2.70114692359029
"44","EED",2.253,0.0121,2.433,0.535,0.077,0.00202,44,2.69464863055338
"45","FOXA2",4.485,3.65e-06,2.322,0.522,0.077,0.00205,45,2.68824613894425
"46","EP300",5.117,1.56e-07,1.683,0.705,0.077,0.00208,46,2.68193666503724
"47","HNF1A",2.387,0.00849,2.238,0.541,0.077,0.00208,47,2.68193666503724
"48","STAT4",1.749,0.0401,2.658,0.537,0.078,0.00211,48,2.67571754470231
"49","ZNF654",2.285,0.0112,2.12,0.566,0.078,0.00214,49,2.66958622665081
"50","KDM1A",1.861,0.0314,2.122,0.595,0.078,0.00217,50,2.66354026615147
"51","MAML3",2.502,0.00617,2.563,0.516,0.081,0.00238,51,2.62342304294349
"52","FUS",2.022,0.0216,2.191,0.554,0.082,0.00251,52,2.60032627851896
"53","POLR3D",2.716,0.00331,2.052,0.552,0.083,0.00254,53,2.59516628338006
"54","EZH2",7.94,1.01e-15,1.443,0.668,0.087,0.00296,54,2.52870828894106
"55","HOTAIR",2.348,0.00944,2.619,0.511,0.087,0.00296,55,2.52870828894106
"56","NR2F6",2.224,0.0131,2.659,0.513,0.087,0.003,56,2.52287874528034
"57","GATA3",3.063,0.0011,1.901,0.559,0.089,0.00315,57,2.5016894462104
"58","BRD9",1.868,0.0309,2.184,0.548,0.09,0.00331,58,2.48017200622428
"59","ARID3A",2.027,0.0213,2.356,0.527,0.093,0.00359,59,2.44490555142168
"60","TCF21",2.75,0.00298,1.819,0.571,0.094,0.00372,60,2.4294570601181
"61","KLF16",1.771,0.0383,2.378,0.527,0.095,0.00389,61,2.41005039867429
"62","PGR",1.52,0.0642,2.271,0.548,0.096,0.00402,62,2.39577394691553
"63","SFPQ",1.36,0.0869,3.311,0.527,0.097,0.00407,63,2.39040559077478
"64","ZBTB16",1.537,0.0622,1.939,0.635,0.097,0.00416,64,2.38090666937326
"65","IRF1",3,0.00135,1.612,0.597,0.099,0.00435,65,2.36151074304536
"66","FLI1",2.404,0.00812,1.632,0.616,0.1,0.00444,66,2.35261702988538
"67","HLF",1.718,0.0429,2.729,0.508,0.101,0.00469,67,2.32882715728492
"68","SKI",1.683,0.0462,1.893,0.591,0.104,0.00499,68,2.30189945437661
"69","HNF4G",2.125,0.0168,1.987,0.544,0.104,0.00505,69,2.29670862188134
"70","IRF4",2.681,0.00367,2.035,0.528,0.105,0.00515,70,2.28819277095881
"71","LDB1",1.353,0.088,2.632,0.526,0.105,0.00515,71,2.28819277095881
"72","CHAT",1.655,0.0489,2.679,0.506,0.106,0.00531,72,2.27490547891853
"73","ZFP57",1.803,0.0357,2.065,0.535,0.107,0.00553,73,2.2572748686953
"74","JARID2",5.094,1.75e-07,1.206,0.662,0.107,0.00553,74,2.2572748686953
"75","HOXA9",1.557,0.0598,2.178,0.537,0.107,0.00553,75,2.2572748686953
"76","ZTA",1.65,0.0495,2.783,0.504,0.107,0.00553,76,2.2572748686953
"77","NR4A1",1.504,0.0662,2.01,0.564,0.109,0.00582,77,2.23507701535011
"78","EBNA3",1.615,0.0531,1.924,0.564,0.11,0.00593,78,2.22694530663574
"79","MCM2",1.306,0.0957,2.607,0.518,0.111,0.00617,79,2.20971483596676
"80","TRIM22",2.036,0.0209,1.917,0.541,0.113,0.00641,80,2.19314197048118
"81","PROX1",1.803,0.0357,1.706,0.588,0.113,0.00647,81,2.1890957193313
"82","MYOG",1.613,0.0533,2.471,0.508,0.113,0.00653,82,2.18508681872493
"83","TCF12",1.799,0.036,1.963,0.541,0.114,0.0066,83,2.18045606445813
"84","NEUROG2",3.809,6.98e-05,1.913,0.516,0.114,0.00666,84,2.1765257708297
"85","ZNF175",1.245,0.107,2.541,0.518,0.115,0.00691,85,2.1605219526258
"86","ZNF512",1.767,0.0386,2.218,0.513,0.117,0.00724,86,2.14026143380285
"87","PML",2.336,0.00976,1.467,0.584,0.118,0.00744,87,2.12842706445412
"88","HNF4A",2.691,0.00356,1.599,0.55,0.118,0.00744,88,2.12842706445412
"89","SOX10",1.313,0.0946,2.37,0.519,0.119,0.00765,89,2.11633856484638
"90","DRAP1",1.55,0.0606,1.936,0.552,0.119,0.00765,90,2.11633856484638
"91","STAT1",2.576,0.005,1.432,0.565,0.122,0.00807,91,2.09312646527793
"92","ASCL1",2.037,0.0208,1.622,0.557,0.124,0.00851,92,2.07007043991541
"93","BATF",2.403,0.00812,1.943,0.515,0.124,0.00858,93,2.06651271215129
"94","OTX2",3.484,0.000247,2.054,0.499,0.124,0.00866,94,2.06248210798265
"95","SIX2",2.288,0.0111,2.229,0.498,0.125,0.00873,95,2.05898575629443
"96","NKX2-1",1.77,0.0384,2.193,0.507,0.125,0.00873,96,2.05898575629443
"97","NFIL3",1.373,0.0849,2.168,0.528,0.125,0.00873,97,2.05898575629443
"98","NANOG",3.151,0.000813,1.875,0.51,0.125,0.00889,98,2.05109823902979
"99","PDX1",1.453,0.073,2.371,0.508,0.125,0.00889,99,2.05109823902979
"100","ZIM3",1.554,0.0601,2.509,0.499,0.126,0.00904,100,2.04383156952464
"101","SUZ12",3.587,0.000167,0.878,0.664,0.127,0.0092,101,2.03621217265444
"102","NFIA",1.494,0.0675,2.511,0.5,0.128,0.00951,102,2.02181948306259
"103","BAHD1",1.416,0.0784,2.776,0.495,0.129,0.00959,103,2.01818139282934
