"","TF","statistic","pvalue","zscore","max_auc","re_rank","irwin_hall_pvalue","ID","logPvalue"
"1","OTX2",6.874,3.12e-12,3.149,0.535,0.015,1.44e-05,1,4.84163750790475
"2","SIX2",3.903,4.74e-05,3.078,0.531,0.024,6.57e-05,2,4.18243463044022
"3","TP63",9.123,3.66e-20,2.548,0.658,0.025,7.17e-05,3,4.1444808443322
"4","MAML3",3.361,0.000388,3.063,0.54,0.026,7.48e-05,4,4.12609840213554
"5","GATA4",5.027,2.5e-07,3.098,0.515,0.027,8.82e-05,5,4.05453141486818
"6","GATA6",4.425,4.83e-06,2.84,0.531,0.031,0.000133,6,3.87614835903291
"7","TP73",2.836,0.00228,2.867,0.551,0.033,0.000163,7,3.78781239559604
"8","SOX2",5.474,2.2e-08,2.867,0.512,0.036,0.000203,8,3.69250396208679
"9","TBX5",3.417,0.000317,3.052,0.514,0.037,0.000228,9,3.64206515299955
"10","TCF4",3.379,0.000364,2.698,0.53,0.04,0.000278,10,3.55595520408192
"11","RAD21",10.008,7e-24,2.261,0.55,0.042,0.000326,11,3.48678239993206
"12","EOMES",3.008,0.00131,2.868,0.514,0.044,0.00038,12,3.42021640338319
"13","EBF3",2.741,0.00306,3.208,0.509,0.047,0.00047,13,3.32790214206428
"14","PPARG",5.188,1.07e-07,2.145,0.578,0.048,0.000492,14,3.30803489723264
"15","HAND2",1.693,0.0452,2.995,0.553,0.05,0.000549,15,3.26042765554991
"16","HOTAIR",3.022,0.00126,3.028,0.501,0.05,0.000574,16,3.24108810760203
"17","PHOX2B",1.686,0.0459,3.105,0.542,0.05,0.000574,17,3.24108810760203
"18","SMC3",7.477,3.8e-14,2.09,0.55,0.052,0.000651,18,3.18641901143181
"19","REST",6.243,2.15e-10,2.644,0.499,0.053,0.000678,19,3.16877030613294
"20","SMAD2",2.801,0.00255,2.567,0.529,0.054,0.00072,20,3.14266750356873
"21","GATA3",4.712,1.23e-06,2.238,0.531,0.055,0.000734,21,3.13430394008393
"22","CEBPB",10.417,1.04e-25,2.357,0.511,0.055,0.000764,22,3.11690664142431
"23","CTCF",28.114,3.27e-174,2.142,0.517,0.056,0.000809,23,3.09205147838773
"24","BANF1",2.813,0.00245,2.453,0.539,0.056,0.000809,24,3.09205147838773
"25","NR3C1",7.091,6.66e-13,2.012,0.564,0.057,0.00084,25,3.07572071393812
"26","MYOG",2.194,0.0141,2.979,0.508,0.058,0.000856,26,3.06752623532285
"27","NANOG",4.599,2.12e-06,2.313,0.517,0.058,0.000872,27,3.05948351506743
"28","DUX4",2.38,0.00865,3.008,0.496,0.06,0.000974,28,3.01144104312138
