"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.689","1.40699265549286","BLCA",1
"2","0.5","0.763","1.97180419737507","BRCA_1",2
"3","0.5","0.959","1.60502619048546","BRCA_2",3
"4","0.5","0.327","1.73693199223489","COAD_READ",4
"5","0.5","0.741","1.16473672295978","HNSC",5
"6","0.5","0.848","1.44936821712314","KICH",6
"7","0.5","0.589","1.50321564200728","KIRC",7
"8","0.5","0.806","1.152856429801","KIRP",8
"9","0.5","0.726","0.899676602599665","LIHC",9
"10","0.5","0.526","1.76415948130586","LUAD",10
"11","0.5","0.606","1.5583479944756","LUSC",11
"12","0.5","0.627","2.10891145367724","PRAD",12
"13","0.5","0.272","1.98284005189513","STES",13
"14","0.5","0.622","1.70433344373526","THCA",14
"15","0.5","0.779","1.64035933853467","UCEC",15
