"","likelihood","bart","expr","cancer","rank_size"
"1","0.822258177017419","0.756","2.32781693523201","BLCA",1
"2","0.05371754800686","0.863","2.92777140925874","BRCA_1",2
"3","0.411210446367281","0.884","2.45623695429512","BRCA_2",3
"4","0.164169177893208","0.558","1.96727650439638","COAD_READ",4
"5","0.00756697329384535","0.902","1.64636141930694","HNSC",5
"6","0.292006232888223","0.854","2.06249601437182","KICH",6
"7","0.578862548055451","0.766","2.33909487861426","KIRC",7
"8","0.744095098258616","0.667","1.9102671162782","KIRP",8
"9","9.68779810979401e-07","0.899","2.13575968215274","LIHC",9
"10","0.568086911781603","0.807","2.31830887928743","LUAD",10
"11","0.761128678023036","0.9","2.24176599884133","LUSC",11
"12","0.69708679063359","0.872","2.40911985990948","PRAD",12
"13","0.440379230280865","0.772","2.46979641428623","STES",13
"14","0.80767980388044","0.827","2.29982230922784","THCA",14
"15","0.630536781546703","0.75","2.11301907499694","UCEC",15
