"","likelihood","bart","expr","rank_size"
"1",0.5,0.504,1.70810446339465,2
"2",0.5,0.638,1.32476665536149,9
"3",0.5,0.753,1.42038356461517,6
"4",0.5,0.83,1.49018395647005,5
"5",0.5,0.717,1.38146221055769,7
"6",0.5,0.318,1.17774736482424,14
"7",0.5,0.889,1.20465058886415,13
"8",0.5,0.947,1.27222364853595,11
"9",0.5,0.673,0.797325906420382,15
"10",0.5,0.592,1.68888444850699,3
"11",0.5,0.389,1.87239984103713,1
"12",0.5,0.707,1.20668276030841,12
"13",0.5,0.766,1.3299873011936,8
"14",0.5,0.724,1.30844095155433,10
"15",0.5,0.687,1.64274308165325,4
