"","likelihood","bart","expr","rank_size"
"1",0.5,0.568,1.47177947630413,9
"2",0.5,0.523,1.60110392990541,6
"3",0.5,0.421,1.49063459921003,8
"4",0.5,0.398,1.730340021036,2
"5",0.5,0.41,1.0134613659494,14
"6",0.5,0.656,1.50449840919953,7
"7",0.5,0.377,1.11724832410426,13
"8",0.5,0.228,1.46376375604251,10
"9",0.5,0.676,0.598939912007963,15
"10",0.5,0.428,1.37099895613735,11
"11",0.5,0.477,1.68659132372717,4
"12",0.5,0.508,2.24055663551533,1
"13",0.5,0.37,1.70841676209139,3
"14",0.5,0.362,1.34590660524462,12
"15",0.5,0.576,1.61543881864419,5
