"","likelihood","bart","expr","rank_size"
"1",0.5,0.911,3.24791019152304,5
"2",0.5,0.771,3.50859067881393,3
"3",0.5,0.74,3.58505829619978,1
"4",0.5,0.76,2.89087182191429,11
"5",0.5,0.389,3.04185835971788,8
"6",0.5,0.767,2.43335887924173,14
"7",0.5,0.323,2.88215300987619,12
"8",0.5,0.405,3.03198795035934,9
"9",0.5,0.577,2.19258032567538,15
"10",0.5,0.618,3.1784669628852,6
"11",0.5,0.552,3.5701421018557,2
"12",0.5,0.606,3.05136084184807,7
"13",0.5,0.603,2.5659525493591,13
"14",0.5,0.386,3.00720584165401,10
"15",0.5,0.926,3.32194980726467,4
