"","likelihood","bart","expr","rank_size"
"1",0.5,0.853,2.13666473118251,8
"2",0.5,0.722,2.37633862498132,2
"3",0.5,0.836,2.60472694314581,1
"4",0.5,0.834,2.20752323997315,6
"5",0.5,0.678,2.12201344966888,9
"6",0.5,0.171,1.5727141994488,15
"7",0.5,0.573,2.03793405526551,11
"8",0.5,0.657,1.80755159560239,14
"9",0.5,0.769,1.97514453618967,13
"10",0.5,0.722,2.23401010143597,5
"11",0.5,0.601,2.28613957988333,3
"12",0.5,0.559,2.16609020134724,7
"13",0.5,0.632,2.27303558440233,4
"14",0.5,0.42,2.10470447674408,10
"15",0.5,0.816,2.01468873077797,12
