"","likelihood","bart","expr","rank_size"
"1",0.5,0.497,1.56163027249862,8
"2",0.5,0.306,1.92781979306317,2
"3",0.5,0.762,1.80443809229346,3
"4",0.5,0.398,1.74811571938653,5
"5",0.5,0.285,1.65254455991783,7
"6",0.5,0.336,0.90779357736826,15
"7",0.5,0.35,1.38833007991134,10
"8",0.5,0.329,1.29475437864528,11
"9",0.5,0.199,1.00021954682995,14
"10",0.5,0.17,1.71853577727434,6
"11",0.5,0.174,1.77056436136826,4
"12",0.5,0.314,1.46471071928857,9
"13",0.5,0.25,2.05566309108465,1
"14",0.5,0.131,1.27643365986199,12
"15",0.5,0.27,1.27267589382477,13
