"","likelihood","bart","expr","cancer","rank_size"
"1","0.488908150997228","0.403","2.72519847246388","BLCA",1
"2","0.0716723357337282","0.809","2.2682652131621","BRCA_1",2
"3","0.0120632077111673","0.426","2.45404031974068","BRCA_2",3
"4","0.292853966145934","0.598","2.38221156278961","COAD_READ",4
"5","0.0874918989903185","0.728","2.22187845719555","HNSC",5
"6","0.497446729459496","0.481","1.24986019195782","KICH",6
"7","0.433064976867807","0.837","1.78204676116511","KIRC",7
"8","0.365686592705309","0.569","1.78007540596356","KIRP",8
"9","0.0595254349718911","0.825","1.43206740857954","LIHC",9
"10","0.871599738335926","0.732","2.1035840466719","LUAD",10
"11","0.466054267011763","0.753","2.57678842903831","LUSC",11
"12","0.508737909100898","0.817","1.80634551257327","PRAD",12
"13","0.874574889800118","0.765","2.09128645455861","STES",13
"14","0.100035261370468","0.772","1.63606050594544","THCA",14
"15","0.0946772231126038","0.436","2.22861459153185","UCEC",15
