"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.324","3.42159560568871","BLCA",1
"2","0.5","0.159","2.55070066232574","BRCA_1",2
"3","0.5","0.122","2.62740379649686","BRCA_2",3
"4","0.5","0.599","2.88701720674792","COAD_READ",4
"5","0.5","0.547","3.2167467255811","HNSC",5
"6","0.5","0.282","2.73522758489611","KICH",6
"7","0.5","0.693","3.77367522534181","KIRC",7
"8","0.5","0.522","3.63656790712474","KIRP",8
"9","0.5","0.184","3.61010358272937","LIHC",9
"10","0.5","0.192","3.76158887807151","LUAD",10
"11","0.5","0.143","3.3748041650508","LUSC",11
"12","0.5","0.221","3.35878344370467","PRAD",12
"13","0.5","0.657","3.90765686420403","STES",13
"14","0.5","0.538","3.48775010518031","THCA",14
"15","0.5","0.322","3.05911522635657","UCEC",15
