"","likelihood","bart","expr","cancer","rank_size"
"1","5.46417496847023e-05","0.384","-1.72936411282165","BLCA",1
"2","0.654092570278501","0.331","-2.27989724881404","BRCA_1",2
"3","5.06675256699562e-05","0.325","-2.26913156185334","BRCA_2",3
"4","0.000773266313232545","0.51","-1.8953389082644","COAD_READ",4
"5","0.0619140209821959","0.771","-2.29191354281905","HNSC",5
"6","1","0.543","-2.29358616379643","KICH",6
"7","0.388373095977836","0.601","-2.28356241207956","KIRC",7
"8","0.130927320957658","0.516","-2.28998520033631","KIRP",8
"9","4.3628436315356e-06","0.35","-2.20665833569662","LIHC",9
"10","0.000171340266238059","0.381","-2.16812271913479","LUAD",10
"11","0.554740810375508","0.298","-2.2192333659736","LUSC",11
"12","0.033107952154402","0.269","-2.11020298297994","PRAD",12
"13","0.838190864511537","0.712","-1.38811787443312","STES",13
"14","0.187320303253941","0.653","-2.29693936615082","THCA",14
"15","0.223703940554172","0.357","-1.90684776123283","UCEC",15
