"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.441","2.93021957802409","BLCA",1
"2","0.5","0.195","2.96534205305217","BRCA_1",2
"3","0.5","0.148","2.9712397064397","BRCA_2",3
"4","0.5","0.079","2.98935408289768","COAD_READ",4
"5","0.5","0.044","2.81766266798868","HNSC",5
"6","0.5","0.836","3.04850613214645","KICH",6
"7","0.5","0.107","2.74497326112896","KIRC",7
"8","0.5","0.056","2.93429088185531","KIRP",8
"9","0.5","0.081","2.104008667986","LIHC",9
"10","0.5","0.1","2.70298219082676","LUAD",10
"11","0.5","0.088","3.15926061490898","LUSC",11
"12","0.5","0.24","2.76187984518261","PRAD",12
"13","0.5","0.071","3.10102110307177","STES",13
"14","0.5","0.097","2.56777494031039","THCA",14
"15","0.5","0.22","2.73672664479453","UCEC",15
