"","likelihood","bart","expr","cancer","rank_size"
"1","0.0256245020093486","0.24","3.87413756319529","BLCA",1
"2","0.000976210206580098","0.538","4.26275604750839","BRCA_1",2
"3","0.145092384417853","0.38","4.29995624043084","BRCA_2",3
"4","0.00108712590462345","0.733","4.52699680444332","COAD_READ",4
"5","0.00201931717148736","0.751","3.79815729509966","HNSC",5
"6","0.00502184224667381","0.413","3.35755168346463","KICH",6
"7","0.00112869400914507","0.644","3.88104727360465","KIRC",7
"8","0.000175264595487094","0.574","3.47856133326394","KIRP",8
"9","1.63674106795153e-12","0.826","3.38126515132902","LIHC",9
"10","4.73631746676307e-05","0.781","4.39832785169383","LUAD",10
"11","0.00181515909403822","0.857","4.13288767761732","LUSC",11
"12","0.00245673694061921","0.863","4.0401277212346","PRAD",12
"13","0.00141430244004304","0.837","3.90103543406497","STES",13
"14","0.040540152586552","0.651","4.51341524275295","THCA",14
"15","0.0121821241484197","0.463","3.87926400831335","UCEC",15
