"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.807","1.88457972940365","BLCA",1
"2","0.5","0.126","2.09680174813724","BRCA_1",2
"3","0.5","0.567","1.90700488972026","BRCA_2",3
"4","0.5","0.213","1.88435400280395","COAD_READ",4
"5","0.5","0.082","1.65605565881164","HNSC",5
"6","0.5","0.51","2.64349501610877","KICH",6
"7","0.5","0.133","2.21369261315298","KIRC",7
"8","0.5","0.102","2.46105542367856","KIRP",8
"9","0.5","0.156","1.42682745317956","LIHC",9
"10","0.5","0.137","1.96043491927131","LUAD",10
"11","0.5","0.243","1.81680400001739","LUSC",11
"12","0.5","0.124","2.65395676045561","PRAD",12
"13","0.5","0.11","1.83042251011851","STES",13
"14","0.5","0.103","2.61914184970535","THCA",14
"15","0.5","0.452","2.48486022717727","UCEC",15
