"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.143","-1.9673344698293","BLCA",1
"2","0.5","0.822","-0.835265437742282","BRCA_1",2
"3","0.5","0.224","-1.56483588647508","BRCA_2",3
"4","0.5","0.197","-1.91428901958685","COAD_READ",4
"5","0.5","0.305","-0.425375081969464","HNSC",5
"6","0.5","0.521","-2.13188050730425","KICH",6
"7","0.5","0.559","-1.77326585204746","KIRC",7
"8","0.5","0.881","-2.18633243709968","KIRP",8
"9","0.5","0.605","-2.07817457683075","LIHC",9
"10","0.5","0.943","-2.15202399103233","LUAD",10
"11","0.5","0.909","-1.21399727303083","LUSC",11
"12","0.5","0.858","-0.278223167432103","PRAD",12
"13","0.5","0.915","-1.73375389798829","STES",13
"14","0.5","0.899","-1.97754371464559","THCA",14
"15","0.5","0.885","-1.82489594021489","UCEC",15
