"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.392","-1.4375597250365","BLCA",1
"2","0.5","0.773","-1.06975015511497","BRCA_1",2
"3","0.5","0.501","-0.868308405480186","BRCA_2",3
"4","0.5","0.631","-1.31436181958497","COAD_READ",4
"5","0.5","0.763","-1.10563495712609","HNSC",5
"6","0.5","0.579","-1.71143503929835","KICH",6
"7","0.5","0.809","-1.22061867218684","KIRC",7
"8","0.5","0.578","-1.6271968598445","KIRP",8
"9","0.5","0.792","-1.67267237607248","LIHC",9
"10","0.5","0.753","-1.22219954285519","LUAD",10
"11","0.5","0.819","-0.760669459168592","LUSC",11
"12","0.5","0.83","-1.6611688215712","PRAD",12
"13","0.5","0.775","-1.04011692754907","STES",13
"14","0.5","0.735","-1.46513278027793","THCA",14
"15","0.5","0.434","-1.31467778187206","UCEC",15
