"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.953","2.1288056775325","BLCA",1
"2","0.5","0.788","2.18077713958257","BRCA_1",2
"3","0.5","0.928","2.2534746161513","BRCA_2",3
"4","0.5","0.906","2.07323457285895","COAD_READ",4
"5","0.5","0.655","1.91401279320351","HNSC",5
"6","0.5","0.808","1.84648537190852","KICH",6
"7","0.5","0.449","1.79278478341494","KIRC",7
"8","0.5","0.772","1.74711345696245","KIRP",8
"9","0.5","0.844","1.30109776763767","LIHC",9
"10","0.5","0.766","2.14886106919377","LUAD",10
"11","0.5","0.833","2.41754626588932","LUSC",11
"12","0.5","0.703","1.94814282702804","PRAD",12
"13","0.5","0.816","2.08431272702698","STES",13
"14","0.5","0.676","1.74762218684668","THCA",14
"15","0.5","0.928","2.08840131219543","UCEC",15
