"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.131","-2.29209624332363","BLCA",1
"2","0.5","0.317","-2.28743174566433","BRCA_1",2
"3","0.5","0.112","-2.29844634356199","BRCA_2",3
"4","0.5","0.477","-2.30093224631493","COAD_READ",4
"5","0.5","0.77","-2.3001630813164","HNSC",5
"6","0.5","0.174","-2.29609133755208","KICH",6
"7","0.5","0.755","-2.29342616435181","KIRC",7
"8","0.5","0.385","-2.23464422045546","KIRP",8
"9","0.5","0.417","-2.29517121387788","LIHC",9
"10","0.5","0.531","-2.29384762900979","LUAD",10
"11","0.5","0.713","-2.29514578410593","LUSC",11
"12","0.5","0.702","-2.29472305477269","PRAD",12
"13","0.5","0.916","-2.27883965424395","STES",13
"14","0.5","0.691","-2.30091271608633","THCA",14
"15","0.5","0.127","-2.26391518240666","UCEC",15
