"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.332","0.470974472543639","BLCA",1
"2","0.5","0.612","0.21590269552264","BRCA_1",2
"3","0.5","0.612","1.24398767681875","BRCA_2",3
"4","0.5","0.363","1.06560241416741","COAD_READ",4
"5","0.5","0.228","0.800281569867084","HNSC",5
"6","0.5","0.358","-1.50631933775226","KICH",6
"7","0.5","0.326","-0.807863030376123","KIRC",7
"8","0.5","0.679","-1.10974082195102","KIRP",8
"9","0.5","0.441","-0.773724343669746","LIHC",9
"10","0.5","0.899","0.132774322580848","LUAD",10
"11","0.5","0.875","0.882309448352254","LUSC",11
"12","0.5","0.522","-1.08878018917378","PRAD",12
"13","0.5","0.66","0.902316914703862","STES",13
"14","0.5","0.663","-0.944897343783142","THCA",14
"15","0.5","0.931","0.656462815941847","UCEC",15
