"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.8","0.504950472580139","BLCA",1
"2","0.5","0.099","0.979641689471034","BRCA_1",2
"3","0.5","0.535","0.885388014137077","BRCA_2",3
"4","0.5","0.353","0.35967585680501","COAD_READ",4
"5","0.5","0.072","0.31308290064851","HNSC",5
"6","0.5","0.293","0.616633545687685","KICH",6
"7","0.5","0.129","0.588865503803679","KIRC",7
"8","0.5","0.084","0.213439706339545","KIRP",8
"9","0.5","0.101","-0.346327646952716","LIHC",9
"10","0.5","0.129","0.638724238528242","LUAD",10
"11","0.5","0.21","0.721088669583226","LUSC",11
"12","0.5","0.105","0.755394776139408","PRAD",12
"13","0.5","0.159","0.931890631476224","STES",13
"14","0.5","0.104","0.34315338727971","THCA",14
"15","0.5","0.509","0.630483418197346","UCEC",15
