"","likelihood","bart","expr","rank_size"
"1",0.5,0.462,1.78103543110769,3
"2",0.5,0.412,1.4313134878666,9
"3",0.5,0.513,1.4098567492946,10
"4",0.5,0.73,1.66219490768497,5
"5",0.5,0.832,1.23747986521877,15
"6",0.5,0.243,1.23983807494035,14
"7",0.5,0.675,1.2570347457045,13
"8",0.5,0.518,1.83370380561344,2
"9",0.5,0.565,1.43197789632089,8
"10",0.5,0.557,1.49297042212289,7
"11",0.5,0.564,1.53369852323514,6
"12",0.5,0.44,1.6740838585679,4
"13",0.5,0.777,1.32406960970898,11
"14",0.5,0.506,1.2822974879964,12
"15",0.5,0.45,1.88477326680874,1
