"","likelihood","bart","expr","cancer","rank_size"
"1","4.06673135338744e-10","0.637","3.09291835569661","BLCA",1
"2","0.000156659448294721","0.72","2.07834491379639","BRCA_1",2
"3","1.13633460330057e-07","0.415","2.44171987767851","BRCA_2",3
"4","4.78218913802298e-15","0.568","3.63960661932811","COAD_READ",4
"5","1.12700618263374e-13","0.115","3.07129317725934","HNSC",5
"6","9.45550041897249e-06","0.768","4.39162361366876","KICH",6
"7","8.91046138800399e-09","0.317","2.81979027416795","KIRC",7
"8","2.40822981448436e-23","0.24","3.37269251689913","KIRP",8
"9","4.51293239046086e-08","0.229","3.07558523430999","LIHC",9
"10","1.308866395129e-12","0.576","2.78075139668757","LUAD",10
"11","2.61622648124563e-10","0.417","2.84355108008958","LUSC",11
"12","5.41459272839107e-10","0.752","2.69186576458782","PRAD",12
"13","4.8380925881454e-07","0.496","2.76409426965755","STES",13
"14","1.81792215637558e-11","0.211","2.14449911940271","THCA",14
"15","1.91412307185619e-11","0.748","2.55756212644319","UCEC",15
