"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.546","3.71359702027634","BLCA",1
"2","0.5","0.262","2.29292354335776","BRCA_1",2
"3","0.5","0.247","2.57805432082388","BRCA_2",3
"4","0.5","0.375","4.7878802333021","COAD_READ",4
"5","0.5","0.278","4.03093283988778","HNSC",5
"6","0.5","0.181","2.54242129342156","KICH",6
"7","0.5","0.282","3.69338152380666","KIRC",7
"8","0.5","0.317","2.77305378609124","KIRP",8
"9","0.5","0.368","3.42271256173577","LIHC",9
"10","0.5","0.527","3.53628954442331","LUAD",10
"11","0.5","0.418","3.71209018670932","LUSC",11
"12","0.5","0.434","2.81140726776428","PRAD",12
"13","0.5","0.496","3.83368961077251","STES",13
"14","0.5","0.304","2.89716287658622","THCA",14
"15","0.5","0.651","3.26872012002239","UCEC",15
