"","likelihood","bart","expr","rank_size"
"1",0.5,0.084,-1.5604611103879,5
"2",0.5,0.553,-2.18122523961967,12
"3",0.5,0.083,-2.04492425678019,10
"4",0.5,0.315,-0.708639664272838,4
"5",0.5,0.391,-1.81590075985656,6
"6",0.5,0.525,-2.12622365756917,11
"7",0.5,0.476,-2.24437600925804,13
"8",0.5,0.354,-2.2445072847803,14
"9",0.5,0.573,-2.00816488220831,9
"10",0.5,0.55,-0.410332256257089,2
"11",0.5,0.73,0.0517338787592803,1
"12",0.5,0.744,-1.97210268491463,8
"13",0.5,0.516,-0.440626030264115,3
"14",0.5,0.379,-2.25698393692153,15
"15",0.5,0.105,-1.89747454836514,7
