"","likelihood","bart","expr","rank_size"
"1",0.5,0.71,0.418039080221866,14
"2",0.5,0.349,2.23092940363512,2
"3",0.5,0.642,1.83823634325007,6
"4",0.5,0.121,0.679672606470367,12
"5",0.5,0.238,0.640018222386875,13
"6",0.5,0.883,2.18655834339924,3
"7",0.5,0.086,1.92622674328168,4
"8",0.5,0.194,1.92089997833264,5
"9",0.5,0.381,-0.360487844077601,15
"10",0.5,0.14,1.36948495684087,9
"11",0.5,0.385,1.55819564822036,8
"12",0.5,0.171,1.62349333841662,7
"13",0.5,0.079,1.14516695642431,11
"14",0.5,0.207,1.17477553276941,10
"15",0.5,0.376,2.67815493064942,1
