"","likelihood","bart","expr","rank_size"
"1",0.5,0.784,-0.78779053884009,7
"2",0.5,0.36,-0.498426904073894,4
"3",0.5,0.825,-1.07010300102484,11
"4",0.5,0.456,0.986684101855027,1
"5",0.5,0.201,-1.02971694409354,10
"6",0.5,0.728,-1.51138623319969,15
"7",0.5,0.149,-0.208736297728227,3
"8",0.5,0.339,-1.16227499744256,12
"9",0.5,0.289,-0.685096010846621,6
"10",0.5,0.419,-0.526479520495862,5
"11",0.5,0.62,-0.837049247367022,9
"12",0.5,0.223,-0.82033201799647,8
"13",0.5,0.435,0.519375755578949,2
"14",0.5,0.261,-1.34357640300225,13
"15",0.5,0.888,-1.37435909798753,14
