"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.377","-0.754620480734925","BLCA",1
"2","0.5","0.69","-1.58341777369047","BRCA_1",2
"3","0.5","0.57","-1.59862306305919","BRCA_2",3
"4","0.5","0.828","-1.06697983137162","COAD_READ",4
"5","0.5","0.791","-1.82594874771003","HNSC",5
"6","0.5","0.425","-2.0999575717372","KICH",6
"7","0.5","0.714","-1.92201757970625","KIRC",7
"8","0.5","0.341","-1.83959499536971","KIRP",8
"9","0.5","0.866","-1.9905679390042","LIHC",9
"10","0.5","0.787","-1.68574580737968","LUAD",10
"11","0.5","0.803","-1.50461546504466","LUSC",11
"12","0.5","0.887","-1.74786960179417","PRAD",12
"13","0.5","0.852","-0.990038151751694","STES",13
"14","0.5","0.776","-2.04465100998013","THCA",14
"15","0.5","0.64","-1.54446951569994","UCEC",15
