"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.383","1.3904207404044","BLCA",1
"2","0.5","0.211","1.93036707480313","BRCA_1",2
"3","0.5","0.132","1.94973605956207","BRCA_2",3
"4","0.5","0.302","1.48462516494985","COAD_READ",4
"5","0.5","0.224","1.70778292005354","HNSC",5
"6","0.5","0.47","1.3936125323719","KICH",6
"7","0.5","0.293","1.82050780309563","KIRC",7
"8","0.5","0.19","1.36624575727088","KIRP",8
"9","0.5","0.242","0.655239370683044","LIHC",9
"10","0.5","0.21","1.67616544969183","LUAD",10
"11","0.5","0.154","1.97344226398146","LUSC",11
"12","0.5","0.213","1.63672828923549","PRAD",12
"13","0.5","0.245","1.75961459251088","STES",13
"14","0.5","0.193","1.63182296531893","THCA",14
"15","0.5","0.171","1.23621573776018","UCEC",15
