"","likelihood","bart","expr","rank_size"
"1",0.5,0.862,1.6516925585539,8
"2",0.5,0.942,2.21878047025094,2
"3",0.5,0.604,2.32493643465684,1
"4",0.5,0.848,1.52873251372594,12
"5",0.5,0.454,1.57961643342382,10
"6",0.5,0.535,1.17764169027333,15
"7",0.5,0.279,1.64667746678366,9
"8",0.5,0.454,1.349041057474,13
"9",0.5,0.623,1.22750752276394,14
"10",0.5,0.801,1.92396784055847,6
"11",0.5,0.749,1.92987358360496,5
"12",0.5,0.661,1.54548445486883,11
"13",0.5,0.733,2.08376064462455,3
"14",0.5,0.578,1.88623236141819,7
"15",0.5,0.864,1.98040438838317,4
