"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.11","-2.10078312316446","BLCA",1
"2","0.5","0.409","-2.03277244543783","BRCA_1",2
"3","0.5","0.096","-2.03738748807252","BRCA_2",3
"4","0.5","0.313","-1.70404857100935","COAD_READ",4
"5","0.5","0.464","-2.17466443282514","HNSC",5
"6","0.5","0.124","-1.97229708328133","KICH",6
"7","0.5","0.587","-2.00906049960404","KIRC",7
"8","0.5","0.408","-2.0493814671708","KIRP",8
"9","0.5","0.479","-2.2178211250992","LIHC",9
"10","0.5","0.54","-1.9698779072581","LUAD",10
"11","0.5","0.575","-1.95966935601208","LUSC",11
"12","0.5","0.692","-2.06046502883838","PRAD",12
"13","0.5","0.375","-1.49430552649871","STES",13
"14","0.5","0.396","-2.22302535587791","THCA",14
"15","0.5","0.1","-2.10267187609342","UCEC",15
