"","likelihood","bart","expr","rank_size"
"1",0.5,0.586,-1.29015235697799,10
"2",0.5,0.876,-1.01488099708145,7
"3",0.5,0.808,-1.21505153033338,9
"4",0.5,0.759,-1.45624516791526,12
"5",0.5,0.76,-0.448718733752402,4
"6",0.5,0.843,-2.0298695641336,14
"7",0.5,0.56,1.31121851777152,1
"8",0.5,0.825,1.14423412184102,2
"9",0.5,0.902,-2.17448239591274,15
"10",0.5,0.834,-1.66125522904148,13
"11",0.5,0.922,-1.13552933292184,8
"12",0.5,0.745,0.00155656383256623,3
"13",0.5,0.751,-0.778576901380674,5
"14",0.5,0.741,-1.37782672928405,11
"15",0.5,0.874,-1.00621139829885,6
