"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.792","1.10050133410805","BLCA",1
"2","0.5","0.736","2.0612650157013","BRCA_1",2
"3","0.5","0.879","1.71383592042636","BRCA_2",3
"4","0.5","0.456","0.836586987204044","COAD_READ",4
"5","0.5","0.653","1.37670128728319","HNSC",5
"6","0.5","0.897","2.88073891434313","KICH",6
"7","0.5","0.227","2.59579533404503","KIRC",7
"8","0.5","0.702","3.59888135549855","KIRP",8
"9","0.5","0.709","0.457980339278519","LIHC",9
"10","0.5","0.495","2.06443548796183","LUAD",10
"11","0.5","0.799","1.54663437499413","LUSC",11
"12","0.5","0.412","1.10378549510399","PRAD",12
"13","0.5","0.268","1.664102658125","STES",13
"14","0.5","0.558","2.3284526446037","THCA",14
"15","0.5","0.756","1.63952145084235","UCEC",15
