"","likelihood","bart","expr","rank_size"
"1",0.5,0.401,2.70175895703788,13
"2",0.5,0.16,3.28981769796758,2
"3",0.5,0.171,2.92262131296657,10
"4",0.5,0.785,3.02492879884622,7
"5",0.5,0.323,2.64171957891625,14
"6",0.5,0.289,3.4706535403546,1
"7",0.5,0.379,2.89668977289837,11
"8",0.5,0.436,3.10277673160604,4
"9",0.5,0.368,2.48817161902806,15
"10",0.5,0.319,3.05377719529931,5
"11",0.5,0.217,2.77471502708319,12
"12",0.5,0.195,3.24773490590885,3
"13",0.5,0.427,3.00034997381451,8
"14",0.5,0.291,3.04863495585501,6
"15",0.5,0.263,2.93816793911694,9
