"","likelihood","bart","expr","rank_size"
"1",0.5,0.131,4.85983639752838,1
"2",0.5,0.151,4.68807152224429,4
"3",0.5,0.074,4.68144172698048,5
"4",0.5,0.12,4.30092650055673,11
"5",0.5,0.141,4.79527436878395,2
"6",0.5,0.18,3.32669750278947,15
"7",0.5,0.344,4.24706456865526,12
"8",0.5,0.137,4.39127750081997,10
"9",0.5,0.199,3.89979650090431,14
"10",0.5,0.211,4.51467719496099,8
"11",0.5,0.218,4.72894173482485,3
"12",0.5,0.455,4.42583274320401,9
"13",0.5,0.322,4.15683053966998,13
"14",0.5,0.178,4.66962649381518,6
"15",0.5,0.1,4.55067097475303,7
