"","likelihood","bart","expr","rank_size"
"1",0.5,0.885,3.42565765131357,6
"2",0.5,0.917,3.67583127947257,5
"3",0.5,0.934,3.31297675558769,9
"4",0.5,0.722,2.81132929135264,15
"5",0.5,0.914,3.29822839937325,11
"6",0.5,0.785,3.2206369112009,12
"7",0.5,0.843,4.27815332104931,2
"8",0.5,0.849,4.60858434365931,1
"9",0.5,0.902,2.83841249204919,14
"10",0.5,0.905,3.35678967483815,7
"11",0.5,0.904,3.29860814676671,10
"12",0.5,0.87,3.33034876971662,8
"13",0.5,0.835,3.04365661150189,13
"14",0.5,0.812,3.8672699324225,3
"15",0.5,0.925,3.6975797221833,4
