"","likelihood","bart","expr","rank_size"
"1",0.5,0.588,3.6336212199915,3
"2",0.5,0.123,3.65029484435868,2
"3",0.5,0.572,3.75156887073305,1
"4",0.5,0.183,3.31624600806521,7
"5",0.5,0.085,2.99736835284094,12
"6",0.5,0.318,2.34876008190756,15
"7",0.5,0.2,2.89833563880601,13
"8",0.5,0.094,3.02833792397926,11
"9",0.5,0.069,2.54234516979476,14
"10",0.5,0.104,3.40929325911519,6
"11",0.5,0.09,3.24336010791616,8
"12",0.5,0.101,3.13056766254694,10
"13",0.5,0.089,3.1723536704446,9
"14",0.5,0.08,3.51644948842614,4
"15",0.5,0.372,3.48883840864929,5
