"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.444","0.681794160995166","BLCA",1
"2","0.5","0.61","1.15606032067988","BRCA_1",2
"3","0.5","0.568","0.808502883833198","BRCA_2",3
"4","0.5","0.924","0.741170453047958","COAD_READ",4
"5","0.5","0.717","0.564358517698472","HNSC",5
"6","0.5","0.139","1.00184506850161","KICH",6
"7","0.5","0.571","0.877202709209089","KIRC",7
"8","0.5","0.729","0.734860601311868","KIRP",8
"9","0.5","0.666","0.171801783920995","LIHC",9
"10","0.5","0.844","0.768318444958508","LUAD",10
"11","0.5","0.859","1.07099563587959","LUSC",11
"12","0.5","0.72","1.07644149677552","PRAD",12
"13","0.5","0.752","0.925260670914186","STES",13
"14","0.5","0.69","0.910465419191148","THCA",14
"15","0.5","0.436","0.725628958935351","UCEC",15
