"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.762","1.82793122242452","BLCA",1
"2","0.5","0.492","2.17784412185385","BRCA_1",2
"3","0.5","0.626","1.94390824432463","BRCA_2",3
"4","0.5","0.497","1.70083656033207","COAD_READ",4
"5","0.5","0.564","2.0268052749279","HNSC",5
"6","0.5","0.82","1.9970568942289","KICH",6
"7","0.5","0.225","1.81832874489997","KIRC",7
"8","0.5","0.417","1.75388464713431","KIRP",8
"9","0.5","0.46","1.30163051708236","LIHC",9
"10","0.5","0.291","1.9764279285032","LUAD",10
"11","0.5","0.525","1.9642345507989","LUSC",11
"12","0.5","0.373","1.89350886439641","PRAD",12
"13","0.5","0.413","1.7198722651801","STES",13
"14","0.5","0.249","2.1584722209825","THCA",14
"15","0.5","0.624","2.03637266879897","UCEC",15
