"","likelihood","bart","expr","rank_size"
"1",0.5,0.241,1.83020981916227,9
"2",0.5,0.435,2.16777747667807,1
"3",0.5,0.21,2.0269776033371,3
"4",0.5,0.573,1.57226113309964,11
"5",0.5,0.49,1.29716905564051,14
"6",0.5,0.6,1.16830740413363,15
"7",0.5,0.429,1.97601489426038,4
"8",0.5,0.547,1.96705576062612,6
"9",0.5,0.528,1.30172138390306,13
"10",0.5,0.41,1.96963241096289,5
"11",0.5,0.457,1.93762521933983,7
"12",0.5,0.379,1.68505699933463,10
"13",0.5,0.513,1.84059971746283,8
"14",0.5,0.496,1.47809748402628,12
"15",0.5,0.293,2.08391538725667,2
