"","likelihood","bart","expr","rank_size"
"1",0.5,0.6,3.49156969265769,8
"2",0.5,0.093,3.29948077738303,11
"3",0.5,0.147,3.95125403375173,2
"4",0.5,0.0570000000000001,4.14986516274947,1
"5",0.5,0.205,3.90928590631405,3
"6",0.5,0.827,3.19422306388206,13
"7",0.5,0.0629999999999999,3.08620296131512,14
"8",0.5,0.075,3.41846674894448,9
"9",0.5,0.094,3.23137300438848,12
"10",0.5,0.0629999999999999,3.76077053711777,5
"11",0.5,0.189,3.87221810509832,4
"12",0.5,0.07,3.69937278471108,6
"13",0.5,0.075,3.67641264827771,7
"14",0.5,0.07,2.0845263667045,15
"15",0.5,0.231,3.34542616114802,10
