"","likelihood","bart","expr","rank_size"
"1",0.5,0.443,0.701695005429066,3
"2",0.5,0.592,0.493776036057066,5
"3",0.5,0.51,0.359245060181521,9
"4",0.5,0.848,0.284225535891569,10
"5",0.5,0.885,0.204250704648439,13
"6",0.5,0.249,-0.664357583174817,15
"7",0.5,0.89,0.424612211394042,7
"8",0.5,0.84,0.251516244241861,12
"9",0.5,0.71,-0.201721948180175,14
"10",0.5,0.769,0.719403667339711,2
"11",0.5,0.673,0.59524997128578,4
"12",0.5,0.536,0.28313433728403,11
"13",0.5,0.836,0.755070413209779,1
"14",0.5,0.744,0.362947695136765,8
"15",0.5,0.604,0.472288977370294,6
