"","likelihood","bart","expr","cancer","rank_size"
"1","1.13360847043827e-18","0.836","2.06921373700114","BLCA",1
"2","1.18975127310559e-12","0.102","2.15650760554444","BRCA_1",2
"3","6.4901196947612e-12","0.778","2.02364911991363","BRCA_2",3
"4","4.21521817763416e-14","0.401","2.16887709960851","COAD_READ",4
"5","4.24525419198544e-20","0.086","2.02608050340782","HNSC",5
"6","0.00180438016687066","0.689","2.4520377382133","KICH",6
"7","2.32701174489281e-06","0.103","2.21532016573857","KIRC",7
"8","9.3366059090408e-13","0.069","2.01575348049794","KIRP",8
"9","1.09804575874604e-38","0.09","1.46322610786786","LIHC",9
"10","0.000746545409606493","0.098","2.10399510027215","LUAD",10
"11","2.58600195150574e-10","0.3","2.1209228818908","LUSC",11
"12","2.70617279299216e-08","0.099","2.26981789233075","PRAD",12
"13","3.46772087871159e-16","0.153","2.03431907900541","STES",13
"14","1.17938355507328e-21","0.0659999999999999","2.45669593090779","THCA",14
"15","2.53613337973443e-36","0.648","2.08259673728453","UCEC",15
