"","likelihood","bart","expr","cancer","rank_size"
"1","1.79441605042525e-35","0.475","3.44995896577025","BLCA",1
"2","6.76269429374444e-62","0.613","2.90723082359307","BRCA_1",2
"3","2.54193476287321e-60","0.365","3.21001639854896","BRCA_2",3
"4","9.07472097682764e-30","0.473","3.12868152857979","COAD_READ",4
"5","1.56880944647973e-82","0.706","3.0523409892653","HNSC",5
"6","0.237920619192215","0.482","2.19648776579924","KICH",6
"7","7.65317851017085e-05","0.943","2.23335315032894","KIRC",7
"8","6.60589728682123e-15","0.869","2.40103576218503","KIRP",8
"9","8.55758398624409e-79","0.524","1.84536230438744","LIHC",9
"10","5.65115106655817e-59","0.49","2.77148286208398","LUAD",10
"11","1.77817045285874e-21","0.474","3.00961017749716","LUSC",11
"12","6.44401131775685e-32","0.647","3.02043918769934","PRAD",12
"13","3.78426887538657e-65","0.465","2.68319249192164","STES",13
"14","1.45514860267729e-25","0.781","2.64190176853756","THCA",14
"15","2.48656918880626e-31","0.432","3.31719336887606","UCEC",15
