"","likelihood","bart","expr","rank_size"
"1",0.5,0.684,2.29744501640295,13
"2",0.5,0.847,2.77251258590898,1
"3",0.5,0.781,2.44083410499295,9
"4",0.5,0.95,2.57662933083773,5
"5",0.5,0.837,2.08496263246705,14
"6",0.5,0.555,2.40686418304196,11
"7",0.5,0.711,2.60098796326652,4
"8",0.5,0.907,2.46720119960856,8
"9",0.5,0.89,1.60509312214883,15
"10",0.5,0.916,2.53614972876241,7
"11",0.5,0.895,2.3217541004698,12
"12",0.5,0.847,2.56073214201645,6
"13",0.5,0.92,2.60706455561926,3
"14",0.5,0.824,2.6533291831176,2
"15",0.5,0.731,2.4212023590048,10
