"","likelihood","bart","expr","cancer","rank_size"
"1","0.0223695767116293","0.952","2.28229231756192","BLCA",1
"2","0.000271420241016361","0.911","2.71707462507127","BRCA_1",2
"3","1.76428975693986e-07","0.912","2.6141712203029","BRCA_2",3
"4","0.306203183614166","0.826","1.75215724587307","COAD_READ",4
"5","0.435456018839667","0.754","2.41913947995993","HNSC",5
"6","2.19839257399506e-07","0.971","0.931280060253258","KICH",6
"7","0.0106720990295636","0.355","1.54525570999701","KIRC",7
"8","0.457045069365459","0.734","1.38877872418955","KIRP",8
"9","0.000203352529499129","0.819","0.772226748790393","LIHC",9
"10","0.0474812710975187","0.705","2.27226938116921","LUAD",10
"11","0.0909550321682416","0.829","2.41652597487945","LUSC",11
"12","0.000181837488176607","0.685","2.05681359147747","PRAD",12
"13","0.228648649185298","0.684","1.88050632323802","STES",13
"14","0.674493348855776","0.715","1.81504126874552","THCA",14
"15","0.217575390926732","0.925","2.36934767619835","UCEC",15
