"","likelihood","bart","expr","rank_size"
"1",0.5,0.858,1.14189963544601,15
"2",0.5,0.263,1.99589878911285,11
"3",0.5,0.702,2.12890405314554,10
"4",0.5,0.465,2.4166484626941,7
"5",0.5,0.258,2.74752152881755,2
"6",0.5,0.629,2.74848893990373,1
"7",0.5,0.187,2.5095858461009,5
"8",0.5,0.212,2.4576037881809,6
"9",0.5,0.272,1.73087175082915,13
"10",0.5,0.236,2.24063659883468,9
"11",0.5,0.319,2.39918132645125,8
"12",0.5,0.182,1.56839770273844,14
"13",0.5,0.251,2.65203284227163,3
"14",0.5,0.149,2.55779318537124,4
"15",0.5,0.765,1.84901133291876,12
