"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.784","0.778941607910697","BLCA",1
"2","0.5","0.543","1.14962104552887","BRCA_1",2
"3","0.5","0.808","1.12434243461862","BRCA_2",3
"4","0.5","0.446","0.788219211583832","COAD_READ",4
"5","0.5","0.401","1.84785658817416","HNSC",5
"6","0.5","0.579","1.5637161256211","KICH",6
"7","0.5","0.174","1.86173528692676","KIRC",7
"8","0.5","0.416","0.956823524463154","KIRP",8
"9","0.5","0.475","-0.434625677737845","LIHC",9
"10","0.5","0.393","1.44802618322894","LUAD",10
"11","0.5","0.569","1.33631845860161","LUSC",11
"12","0.5","0.359","0.678308300285584","PRAD",12
"13","0.5","0.242","1.15335065684571","STES",13
"14","0.5","0.233","0.924789929526861","THCA",14
"15","0.5","0.729","0.324540815756499","UCEC",15
