"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.238","2.17135594876206","BLCA",1
"2","0.5","0.569","1.80559494975567","BRCA_1",2
"3","0.5","0.768","2.03827036275312","BRCA_2",3
"4","0.5","0.926","2.02077117526387","COAD_READ",4
"5","0.5","0.902","1.71835048278979","HNSC",5
"6","0.5","0.337","1.69627580124597","KICH",6
"7","0.5","0.665","1.49049234027686","KIRC",7
"8","0.5","0.929","1.5832335448327","KIRP",8
"9","0.5","0.737","1.35519285675834","LIHC",9
"10","0.5","0.913","1.93329091987863","LUAD",10
"11","0.5","0.92","2.13471695447485","LUSC",11
"12","0.5","0.529","1.78310452793289","PRAD",12
"13","0.5","0.907","2.20646290171679","STES",13
"14","0.5","0.908","1.65989101607137","THCA",14
"15","0.5","0.542","1.95129251660135","UCEC",15
