"","likelihood","bart","expr","rank_size"
"1",0.5,0.686,-1.44904663867105,15
"2",0.5,0.34,-1.01893588344722,11
"3",0.5,0.19,0.212408873878678,3
"4",0.5,0.825,-0.904752881789586,10
"5",0.5,0.156,-1.06460419857923,13
"6",0.5,0.194,0.601675599446169,1
"7",0.5,0.247,0.308466019035662,2
"8",0.5,0.273,-0.24102390028744,7
"9",0.5,0.312,0.198799556344376,4
"10",0.5,0.483,0.0134576137341175,5
"11",0.5,0.236,0.0109414376222684,6
"12",0.5,0.496,-1.19179295675227,14
"13",0.5,0.756,-1.0361918041506,12
"14",0.5,0.26,-0.463403479426059,9
"15",0.5,0.692,-0.249691740018853,8
