"","likelihood","bart","expr","rank_size"
"1",0.5,0.226,3.13808986726803,5
"2",0.5,0.397,3.26062494601635,4
"3",0.5,0.119,3.09374510962992,8
"4",0.5,0.267,2.66028662055557,14
"5",0.5,0.318,3.10047468220877,6
"6",0.5,0.371,3.03116808258805,9
"7",0.5,0.847,2.92743803100339,10
"8",0.5,0.41,2.80838142833657,13
"9",0.5,0.469,1.79270524495383,15
"10",0.5,0.342,3.09471692098741,7
"11",0.5,0.309,3.33971041482604,2
"12",0.5,0.568,2.91297127839307,11
"13",0.5,0.402,2.88049775914003,12
"14",0.5,0.513,3.41934894639288,1
"15",0.5,0.173,3.31703513869705,3
