"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.438","2.3615632094297","BLCA",1
"2","0.5","0.336","2.84548966521422","BRCA_1",2
"3","0.5","0.32","2.31208705550395","BRCA_2",3
"4","0.5","0.151","2.24078221574074","COAD_READ",4
"5","0.5","0.326","2.49334298619846","HNSC",5
"6","0.5","0.788","1.74975776955289","KICH",6
"7","0.5","0.521","2.05534041194224","KIRC",7
"8","0.5","0.376","1.7225497083828","KIRP",8
"9","0.5","0.218","2.24609278820699","LIHC",9
"10","0.5","0.171","2.08186658856421","LUAD",10
"11","0.5","0.127","2.33419279423165","LUSC",11
"12","0.5","0.353","2.45358595512078","PRAD",12
"13","0.5","0.202","2.38128115491802","STES",13
"14","0.5","0.236","2.17513937545369","THCA",14
"15","0.5","0.296","2.16960731435124","UCEC",15
