"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.735","2.16890186122899","BLCA",1
"2","0.5","0.392","2.52589717373513","BRCA_1",2
"3","0.5","0.711","2.54926983985854","BRCA_2",3
"4","0.5","0.28","2.39789116339471","COAD_READ",4
"5","0.5","0.297","2.53928674338407","HNSC",5
"6","0.5","0.881","2.66325095553014","KICH",6
"7","0.5","0.114","3.00183703975859","KIRC",7
"8","0.5","0.281","2.32156772424528","KIRP",8
"9","0.5","0.304","1.92303481732928","LIHC",9
"10","0.5","0.16","2.49073261380829","LUAD",10
"11","0.5","0.296","2.75860233483729","LUSC",11
"12","0.5","0.185","2.42967441219958","PRAD",12
"13","0.5","0.123","2.6618258702276","STES",13
"14","0.5","0.24","2.82434739156187","THCA",14
"15","0.5","0.56","2.19362199168816","UCEC",15
