"","likelihood","bart","expr","rank_size"
"1",0.5,0.395,2.36250035378351,7
"2",0.5,0.491,2.63248023664228,3
"3",0.5,0.139,2.75868665918602,2
"4",0.5,0.874,2.14271614916164,13
"5",0.5,0.264,2.32625764883692,9
"6",0.5,0.205,2.05294868882834,15
"7",0.5,0.444,2.36272118090114,6
"8",0.5,0.436,2.2935467302363,10
"9",0.5,0.469,2.06139120923383,14
"10",0.5,0.687,2.52023484062049,4
"11",0.5,0.311,2.75959382076774,1
"12",0.5,0.693,2.1887499412153,12
"13",0.5,0.863,2.25732782906482,11
"14",0.5,0.467,2.45751963047709,5
"15",0.5,0.55,2.34674174749592,8
