"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.816","1.41790523866133","BLCA",1
"2","0.5","0.386","1.51288862506419","BRCA_1",2
"3","0.5","0.723","1.41347740114389","BRCA_2",3
"4","0.5","0.484","1.14263299823585","COAD_READ",4
"5","0.5","0.344","0.522709792800011","HNSC",5
"6","0.5","0.712","0.358722268141261","KICH",6
"7","0.5","0.228","1.15336183950105","KIRC",7
"8","0.5","0.374","1.11662521603037","KIRP",8
"9","0.5","0.359","0.678476577356239","LIHC",9
"10","0.5","0.271","1.21821403996707","LUAD",10
"11","0.5","0.407","1.23530518956993","LUSC",11
"12","0.5","0.238","1.20660077174672","PRAD",12
"13","0.5","0.326","1.35646794318655","STES",13
"14","0.5","0.167","1.24678949991338","THCA",14
"15","0.5","0.724","1.09807261916429","UCEC",15
