"","likelihood","bart","expr","cancer","rank_size"
"1","0.5","0.624","3.65903968677495","BLCA",1
"2","0.5","0.547","3.10594914659875","BRCA_1",2
"3","0.5","0.27","3.82906944064077","BRCA_2",3
"4","0.5","0.595","4.09848136424784","COAD_READ",4
"5","0.5","0.541","3.6000779016058","HNSC",5
"6","0.5","0.091","2.20117186124684","KICH",6
"7","0.5","0.694","2.76451503106791","KIRC",7
"8","0.5","0.38","2.97241237289101","KIRP",8
"9","0.5","0.811","2.76052336791403","LIHC",9
"10","0.5","0.581","3.19139140324501","LUAD",10
"11","0.5","0.423","3.8984719894416","LUSC",11
"12","0.5","0.642","2.863000039103","PRAD",12
"13","0.5","0.506","3.32507869856721","STES",13
"14","0.5","0.512","2.94037442702602","THCA",14
"15","0.5","0.309","3.69223926474977","UCEC",15
